Series_Title,Genre,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Gross,Platform
Lifeboat,"Drama, War",7.6,Alfred Hitchcock,Tallulah Bankhead,John Hodiak,Walter Slezak,William Bendix,734956,HBO Max
The Lady Vanishes,"Mystery, Thriller",7.8,Alfred Hitchcock,Margaret Lockwood,Michael Redgrave,Paul Lukas,May Whitty,734956,HBO Max
Argo,"Biography, Drama, Thriller",7.7,Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,"136,025,503",Hulu
La La Land,"Comedy, Drama, Music",8,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,"151,101,803",Netflix
Donnie Darko,"Drama, Mystery, Sci-Fi",8,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,"1,480,006",HBO Max
Out of the Past,"Crime, Drama, Film-Noir",8,Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming,734956,Disney+
Jûbê ninpûchô,"Animation, Action, Adventure",7.9,Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,734956,Hulu
Spotlight,"Biography, Crime, Drama",8.1,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,"45,055,776",Netflix
In America,Drama,7.7,Jim Sheridan,Paddy Considine,Samantha Morton,Djimon Hounsou,Sarah Bolger,"15,539,266",Hulu
Rio Bravo,"Action, Drama, Western",8,Howard Hawks,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson,"12,535,000",Disney+
Ex Machina,"Drama, Sci-Fi, Thriller",7.7,Alex Garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,"25,442,958",Hulu
Jagten,Drama,8.3,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,"687,185",HBO Max
The Dark Knight Rises,"Action, Adventure",8.4,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,"448,139,099",Amazon Prime
Barton Fink,"Comedy, Drama, Thriller",7.7,Joel Coen,Ethan Coen,John Turturro,John Goodman,Judy Davis,"6,153,939",Netflix
Bride of Frankenstein,"Drama, Horror, Sci-Fi",7.8,James Whale,Boris Karloff,Elsa Lanchester,Colin Clive,Valerie Hobson,"4,360,000",Disney+
Yip Man,"Action, Biography, Drama",8,Wilson Yip,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka Tung Lam,734956,Netflix
Un long dimanche de fiançailles,"Drama, Mystery, Romance",7.6,Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon,"6,167,817",Amazon Prime
Underground,"Comedy, Drama, War",8.1,Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Jokovic,Slavko Stimac,"171,082",Amazon Prime
Walk the Line,"Biography, Drama, Music",7.8,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,"119,519,402",Netflix
Remember the Titans,"Biography, Drama, Sport",7.8,Boaz Yakin,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst,"115,654,751",Amazon Prime
East of Eden,Drama,7.9,Elia Kazan,James Dean,Raymond Massey,Julie Harris,Burl Ives,734956,Disney+
Dark City,"Mystery, Sci-Fi, Thriller",7.6,Alex Proyas,Rufus Sewell,Kiefer Sutherland,Jennifer Connelly,William Hurt,"14,378,331",HBO Max
Indiana Jones and the Last Crusade,"Action, Adventure",8.2,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,"197,171,806",HBO Max
